image_filename,ground_truth_found,error_message,gt_question,ocr_question,question_CER,question_WER,gt_answer_A,ocr_answer_A,answer_A_CER,answer_A_WER,gt_answer_B,ocr_answer_B,answer_B_CER,answer_B_WER,gt_answer_C,ocr_answer_C,answer_C_CER,answer_C_WER,gt_answer_D,ocr_answer_D,answer_D_CER,answer_D_WER
image_01.png,True,,The Wizarding Wireless Network broadcasts on what Muggle technology?,The Wizarding Wireless Network broadcasts on what Muggle technology?,0.0,0.0,Television,Television,0.0,0.0,Microwave,Microwave,0.0,0.0,Radio,Radio,0.0,0.0,Microphone,Microphone,0.0,0.0
image_02.png,True,,Which of the following is NOT a Muggle leisure activity?,Which of the following is NOT a Muggle leisure activity?,0.0,0.0,Ditch Digging,Ditch Digging,0.0,0.0,Fishing,Fishing,0.0,0.0,Reading,Reading,0.0,0.0,Watching Television,Watching Television,0.0,0.0
image_03.png,True,,Who or what is an internet troll?,Who or what is an internet troll?,0.0,0.0,A Person Who Posts Inflammatory Messages Online,A Person Who Posts Inflammatory Messages Online,0.0,0.0,A Troll That's Famous on the Internet,A Troll That's Famous on the Internet,0.0,0.0,A Person Who Is Bad at Using a Computer,A Person Who Is Bad at Using a Computer,0.0,0.0,A Troll Who Has Access to a Computer,A Troll Who Has Access to a Computer,0.0,0.0
image_04.png,True,,"If a Muggle wanted to get in contact with someone, how might they do it?","If a Muggle wanted to get in contact with someone, how might they do it?",0.0,0.0,Send an Owl,Send an Owl,0.0,0.0,Call Them on a Phone,Call Them on a Phone,0.0,0.0,Use a Two-Way Mirror,Use a Two-Way Mirror,0.0,0.0,Conjure Their Patronus,Conjure Their Patronus,0.0,0.0
image_05.png,True,,What do Muggles mistake Knarls for?,What do Muggles mistake Knarls for?,0.0,0.0,Crabs,Crabs,0.0,0.0,Hedgehogs,Hedgehogs,0.0,0.0,Mice,Mice,0.0,0.0,Echidnas,Echidnas,0.0,0.0
image_06.png,True,,What is the major exception to the Wizarding community's general aversion to Muggle technology?,What is the major exception to the Wizarding community's general aversion to Muggle technology?,0.0,0.0,Plane,Plane,0.0,0.0,Television,Television,0.0,0.0,Cars,Cars,0.0,0.0,Telephone,Telephone,0.0,0.0
image_07.png,True,,Which of the following is NOT a Muggle instrument?,Which of the following is NOT a Muggle instrument?,0.0,0.0,Mouth-Organ,Mouth-Organ,0.0,0.0,Dissimulator,Dissimulator,0.0,0.0,Xylophone,Xylophone,0.0,0.0,Harp,Harp-,0.25,1.0
image_08.png,True,,Which of the following is NOT a Muggle card game?,Which of the following is NOT a Muggle card game?,0.0,0.0,Go Fish,Go Fish,0.0,0.0,Old Maid,Old Maid,0.0,0.0,Solitaire,Solitaire,0.0,0.0,Exploding Snap,Exploding Snap,0.0,0.0
image_09.png,True,,What Muggle technology cleans dirty dishes and cookware?,What Muggle technology cleans dirty dishes and cookware?,0.0,0.0,Pressure Washer,Pressure Washer,0.0,0.0,Washing Machine,Washing Machine,0.0,0.0,Dishwashing Gloves,Dishwashing Gloves,0.0,0.0,Dishwasher,Dishwasher,0.0,0.0
image_10.png,True,,What must Muggles do before mailing their post to ensure it's delivered?,What must Muggles do before mailing their post to ensure it's delivered?,0.0,0.0,Choose a Suitable Owl,Choose a Suitable Owl,0.0,0.0,Bribe a Postman,Bribe a Postman,0.0,0.0,Attach a Stamp,Attach a Stamp,0.0,0.0,Do the Hokey Pokey,Do the Hokey Pokey,0.0,0.0
